#10	CVCL_YD65
1300 MEL	CVCL_8039
1300-MEL	CVCL_8039
130T	CVCL_1649
1315M02	CVCL_5589
1317	CVCL_8040
1317 MEL	CVCL_8040
1317-MEL	CVCL_8040
1321 N1	CVCL_0110
1321-N1	CVCL_0110
1331-2426	CVCL_5B93
1331-2427	CVCL_5B94
1331-8233	CVCL_9587
1331-8234	CVCL_5B19
1331-8235	CVCL_5B23
1331-8236	CVCL_5B28
1331-8237	CVCL_5B65
1331-8238	CVCL_5B17
1331-8239	CVCL_5B20
1331-8240	CVCL_5B63
1331-8241	CVCL_0V35
1331-8242	CVCL_G385
1331-8243	CVCL_5B46
1331-8244	CVCL_5B60
1331-8245	CVCL_5B36
1331-8310	CVCL_5B41
1331-8549	CVCL_5B48
1332-1133	CVCL_5C80
1332-4889	CVCL_5C87
1332-8251	CVCL_G393
1332-8252	CVCL_5C79
1332-8253	CVCL_5C84
1332-8254	CVCL_5C85
1332-8255	CVCL_5C83
1332-8256	CVCL_5C82
1332-8257	CVCL_5C86
1332-8259	CVCL_5D24
1332-8260	CVCL_5B89
1332-8261	CVCL_5C81
1332-8262	CVCL_5B90
1332-8263	CVCL_0V43
1332-8264	CVCL_0V44
1332-8265	CVCL_5F61
1333-4881	CVCL_5B95
1333-8272	CVCL_0V36
1333-8273	CVCL_5B37
1333-8274	CVCL_5B25
1333-8275	CVCL_5B32
1333-8276	CVCL_5B61
1333-8277	CVCL_5B81
1333-8278	CVCL_5B30
1333-8279	CVCL_5B44
1333-8280	CVCL_5B27
1333-8281	CVCL_5B18
1333-8282	CVCL_5B51
1333-8302	CVCL_5B59
1333-8303	CVCL_5B16
1335-MEL	CVCL_Z019
1341-8312	CVCL_5B29
1341-8313	CVCL_5B56
1341-8314	CVCL_R580
1341-8315	CVCL_5B31
1341-8316	CVCL_5B39
1341-8317	CVCL_R587
1341-8318	CVCL_5B40
1341-8319	CVCL_9586
1341-8320	CVCL_9588
1341-8346	CVCL_0V38
1341-8465	CVCL_7463
1341-8466	CVCL_9592
1341-8631	CVCL_0V39
1344-8321	CVCL_7520
1344-8322	CVCL_7519
1344-8323	CVCL_G436
1344-8324	CVCL_R630
1344-8347	CVCL_5C72
1344-8348	CVCL_5C70
1344-8349	CVCL_5C73
1344-8350	CVCL_5C74
1344-8351	CVCL_5C76
1344-8352	CVCL_5C75
1344-8353	CVCL_R605
1344-8354	CVCL_5C77
1344-8355	CVCL_5C78
1344-8356	CVCL_R606
1344-8370	CVCL_5C71
13443-MEL	CVCL_C670
1346-1370	CVCL_5C66
1346-8357	CVCL_5C63
1346-8358	CVCL_9604
1346-8359	CVCL_5C65
1346-8360	CVCL_5C68
1346-8361	CVCL_5C69
1346-8362	CVCL_5C62
1346-8363	CVCL_9605
1346-8364	CVCL_5C67
1346-8365	CVCL_R607
1346-8366	CVCL_0V42
1346-8367	CVCL_R629
1346-8438	CVCL_R612
1346-8603	CVCL_5C64
1347-4843	CVCL_7513
1347-8368	CVCL_9599
1347-8369	CVCL_7512
1347-8412	CVCL_5C11
1347-8413	CVCL_5C20
1347-8414	CVCL_5C19
1347-8434	CVCL_5C18
1347-8435	CVCL_G470
1347-8436	CVCL_5C12
1347-8437	CVCL_5C13
1347-8440	CVCL_5B91
1347-8441	CVCL_5C15
1347-8442	CVCL_5C14
1347-8443	CVCL_5C17
1347-8444	CVCL_5C16
1347-8445	CVCL_R613
1349-8390	CVCL_R618
1349-8393	CVCL_5C03
1349-8394	CVCL_5C10
1349-8395	CVCL_5C05
1349-8396	CVCL_5C07
1349-8397	CVCL_5C06
1349-8398	CVCL_R608
1349-8399	CVCL_R609
1349-8401	CVCL_7510
1349-8411	CVCL_7509
1349-8464	CVCL_5C04
1349-8635	CVCL_5C08
1349-8636	CVCL_5C09
1352-MEL	CVCL_Z020
1353 C7	CVCL_RK99
1357IPS5	CVCL_YT07
1359	CVCL_8041
1359 MEL	CVCL_8041
1359-MEL	CVCL_8041
136	CVCL_E557
1362 MEL	CVCL_S560
1362-8215	CVCL_5C48
1362-8563	CVCL_7503
1362-8564	CVCL_5C46
1362-8565	CVCL_5C49
1362-8566	CVCL_5C45
1362-8567	CVCL_5C50
1362-8568	CVCL_5C44
1362-8569	CVCL_5C51
1362-8570	CVCL_5C52
1362-8571	CVCL_5C53
1362-8572	CVCL_7516
1362-8573	CVCL_7515
1362-8574	CVCL_R614
1362-8575	CVCL_7517
1362-8589	CVCL_9600
1362-8594	CVCL_5C47
1362-8929	CVCL_5C54
1362-MEL	CVCL_S560
1362MEL	CVCL_S560
1363	CVCL_8042
1363 MEL	CVCL_8042
1363-MEL	CVCL_8042
13672711	CVCL_JD44
136T	CVCL_S691
1374IPS1	CVCL_UK24
1374IPSC_1P10	CVCL_UK24
1375-02	CVCL_R615
1376	CVCL_8043
1376 MEL	CVCL_8043
1376-MEL	CVCL_8043
13762	CVCL_3475
13762 MAT B III	CVCL_3475
13762-MAT-B-III	CVCL_3475
138 MG	CVCL_0020
1383	CVCL_8044
1383 MEL	CVCL_8044
1383-MEL	CVCL_8044
1386LN	CVCL_H541
1386TU	CVCL_H542
1388	CVCL_8045
1388 MEL	CVCL_8045
1388-MEL	CVCL_8045
138MG	CVCL_0020
1390	CVCL_8046
1390 MEL	CVCL_8046
1390-MEL	CVCL_8046
1390G3 AGVT(TFAP2C-EGFP;DDX4/HVH-DDX4)	CVCL_YE15
13914	CVCL_JY30
13964593	CVCL_JD61
1399	CVCL_VS80
13D-35D	CVCL_IR13
13D3	CVCL_0F32
13F7	CVCL_IV60
13H33	CVCL_LC59
13ISMA	CVCL_C878
14 C12	CVCL_LB96
14-2-1	CVCL_AZ69
14-3-3S-/- HCT116	CVCL_HD94
14-3-3SIGMA-/- HCT116	CVCL_HD94
1400	CVCL_VS81
14034	CVCL_JC95
1405	CVCL_VS82
1406	CVCL_VS83
1408-1011	CVCL_5D10
1408-1012	CVCL_R593
1408-1013	CVCL_5D16
1408-1014	CVCL_R594
1408-1015	CVCL_5D15
1408-1016	CVCL_5D11
1408-1017	CVCL_9609
1408-1018	CVCL_7522
1408-1019	CVCL_9611
1408-1020	CVCL_9608
1408-1022	CVCL_5D13
1408-1025	CVCL_5D12
1408-1038	CVCL_5D14
1408-1694	CVCL_5D17
1411HP	CVCL_2268
1413-1077	CVCL_5D04
1413-1078	CVCL_5C96
1413-1079	CVCL_5C97
1413-1080	CVCL_5C98
1413-1081	CVCL_5C95
1413-1082	CVCL_5C90
1413-1083	CVCL_5C89
1413-1084	CVCL_5B84
1413-1085	CVCL_5C88
1413-1086	CVCL_5C99
1413-1087	CVCL_5D00
1413-1088	CVCL_5D01
1413-1089	CVCL_5B85
1413-1090	CVCL_5D02
1413-1091	CVCL_5C93
1413-1092	CVCL_5C91
1413-1218	CVCL_5D03
1413-1279	CVCL_5C94
1413-1280	CVCL_5C92
1415	CVCL_VS84
1416-1186	CVCL_9613
1416-1187	CVCL_9614
1416-1188	CVCL_5B86
1416-1189	CVCL_G545
1416-1190	CVCL_5D31
1416-1191	CVCL_5D29
1416-1192	CVCL_5D30
1416-1193	CVCL_5D28
1416-1194	CVCL_5D26
1416-1195	CVCL_R595
1416-1196	CVCL_5D32
1416-1197	CVCL_5D27
1416-1337	CVCL_5D33
1416-1338	CVCL_5D34
1416-2387	CVCL_5D35
1416-4899	CVCL_5D36
1418	CVCL_VS85
142-24E05	CVCL_E966
1429	CVCL_VS86
143 B	CVCL_2270
143-B306	CVCL_U923
1433	CVCL_VS87
143B	CVCL_2270
143B PML BK TK	CVCL_3477
143B TK-	CVCL_2270
143B-206RHO0	CVCL_U923
143B.206 RHO0	CVCL_U923
143B/206	CVCL_U923
143B/206 RHO0	CVCL_U923
143B/TK^(-)NEO^(R)	CVCL_9W36
143B206	CVCL_U923
143B206 RHO(0)	CVCL_U923
143B206 RHO-ZERO	CVCL_U923
143BTK-	CVCL_2270
143TK-	CVCL_2270
143X19	CVCL_6A75
143X3	CVCL_6A76
1440	CVCL_VS88
1441	CVCL_VS89
14433	CVCL_JY31
14464	CVCL_HF04
1448	CVCL_VS90
1455	CVCL_VS91
1458	CVCL_VS92
146-3E4	CVCL_E968
1466IPS1	CVCL_XI39
1466IPS2	CVCL_XI40
1466IPS3	CVCL_XI41
146T	CVCL_Y008
1479	CVCL_8047
1479 MEL	CVCL_8047
1479-MEL	CVCL_8047
147T	CVCL_L895
1483	CVCL_6980
1488-4F1	CVCL_DP72
149 PT	CVCL_3422
14905442	CVCL_JD30
1495	CVCL_8048
1495 MEL	CVCL_8048
1495-MEL	CVCL_8048
149PT	CVCL_3422
14A8	CVCL_XY41
14C	CVCL_7721
14C6	CVCL_3346
14D9.F8	CVCL_JY60
14E2	CVCL_JY61
14ICTR	CVCL_C879
14T	CVCL_5953
15.3	CVCL_K044
15.5.5S	CVCL_D290
15.84	CVCL_J169
150-99	CVCL_IZ85
1506 A1.4	CVCL_F813
1506 A5.4	CVCL_G630
150T	CVCL_VJ37
151-1	CVCL_WR59
151-5	CVCL_WR60
152-2	CVCL_WR61
152-3	CVCL_WR62
152-4	CVCL_WR63
1520	CVCL_8049
1520 MEL	CVCL_8049
1520-MEL	CVCL_8049
1522	CVCL_H759
15233	CVCL_JY32
15310-LN	CVCL_E548
1532-CP1TX	CVCL_4814
1532-CP2TX	CVCL_4815
1535-CP1TX	CVCL_4817
1535-CP2TX	CVCL_4818
15392	CVCL_C604
15392M	CVCL_C604
153T	CVCL_VJ38
1542-CP1TX	CVCL_4821
1542-CP2TX	CVCL_4822
1542-CP3TX	CVCL_4823
155	CVCL_UF81
156T	CVCL_VJ39
159 PT	CVCL_5423
159PT	CVCL_5423
15A	CVCL_1S24
15A6	CVCL_0F33
15C11	CVCL_CY50
15D3	CVCL_F772
15F0009	CVCL_YM68
15F0021	CVCL_UM28
15F3	CVCL_J084
15M0008	CVCL_WR08
15M0010	CVCL_YM69
15M0011	CVCL_YM70
15M0014	CVCL_VN40
15M005	CVCL_UJ67
15PC-3	CVCL_D647
15b	CVCL_C756
16-HBE	CVCL_0112
16-HBE14O	CVCL_0112
16-HBEO	CVCL_0112
160-IPSC	CVCL_QY80
1604HTERT	CVCL_C472
160B	CVCL_QZ01
160D	CVCL_U058
161 BR	CVCL_2274
161-BR	CVCL_2274
1618K	CVCL_S505
16423 APOE KO	CVCL_RF91
16423 APOE3/3	CVCL_II80
164R-1	CVCL_1D48
164R-4	CVCL_1D49
164R-5	CVCL_1D38
164R-7	CVCL_1D39
165-23	CVCL_R995
166T	CVCL_VJ40
1679 C20	CVCL_RL00
1682-A	CVCL_F665
1687-4F2	CVCL_DP74
16C	CVCL_M746
16F0066	CVCL_YM73
16F2	CVCL_DB51
16G2	CVCL_DB53
16HBE	CVCL_0112
16HBE140	CVCL_0112
16HBEO-	CVCL_0112
16M0064	CVCL_YM71
16M0065	CVCL_YM72
16R5-2	CVCL_R751
16R5-5	CVCL_R752
16R6-2	CVCL_R753
16R6-3	CVCL_R754
16R6-4	CVCL_R755
16TX2	CVCL_1S46
17 CL 1	CVCL_VT75
17 CLONE 1	CVCL_VT75
17,94	CVCL_D704
17.94	CVCL_D704
170	CVCL_UF82
171-BR	CVCL_8778
172R/AA765	CVCL_2Q21
172S	CVCL_E214
174S	CVCL_E215
174T	CVCL_VJ41
174XCEM	CVCL_7904
174XCEM.T1	CVCL_7904
174XCEM.T2	CVCL_2211
1752	CVCL_0565
175X2	CVCL_5235
1771	CVCL_0B18
1777N	CVCL_2277
1777N RPMET	CVCL_2277
178 MG	CVCL_A758
178MG	CVCL_A758
1795-4A	CVCL_AX27
17CL-1	CVCL_VT75
17CL1	CVCL_VT75
17D4	CVCL_N308
17E6	CVCL_JY65
17F4	CVCL_IV61
17F9	CVCL_J963
17_3052C2A3	CVCL_YT28
18 DAYS FOIE DE RAT AT 22TH PASSAGE	CVCL_WY62
180BR NEO	CVCL_F226
180BRHT	CVCL_WX36
1810	CVCL_D054
1811	CVCL_LC34
1815 C7	CVCL_RK96
18176	CVCL_E748
181P	CVCL_X181
181RD	CVCL_X182
181RN	CVCL_X183
1827 A34-1	CVCL_RL01
1828 B2	CVCL_RL02
182R-2	CVCL_1D35
182R-6	CVCL_W536
182R-7	CVCL_1D41
183	CVCL_6978
183-E95	CVCL_Y437
1833	CVCL_DP48
1833 BOM	CVCL_DP48
183A	CVCL_6978
184-B5	CVCL_4688
184-HTERT	CVCL_K053
184A1N4-RAS	CVCL_IQ01
184A1N4-T-RAS	CVCL_IQ03
184B5F5M10	CVCL_Y093
184HTERT	CVCL_K053
1858-MEL A	CVCL_DI11
1858-MEL A (FRAGMENT)	CVCL_DI11
1858-MEL B	CVCL_DI12
1858-MEL B (MEDIMACHINE)	CVCL_DI12
1858-MEL C	CVCL_DI13
1858-MEL C (WASH)	CVCL_DI13
185PE	CVCL_5591
18656	CVCL_HF07
18732	CVCL_C676
188-IPSC	CVCL_VE13
1881C-13B	CVCL_1S50
188T	CVCL_VJ42
18B10.C7(3)	CVCL_XX97
18E9	CVCL_IV62
18F26	CVCL_LC61
18G3.CL 1	CVCL_F780
18T-IPSCS	CVCL_VF04
19	CVCL_5989
19 X 14	CVCL_V060
19-PFT	CVCL_0F46
19.4	CVCL_1E34
1906E	CVCL_LM75
1906L	CVCL_LM76
190PT	CVCL_3423
192P/AA832	CVCL_2Q24
1936-MEL	CVCL_DI14
1936-MEL (MEDIMACHINE)	CVCL_DI14
1955/91	CVCL_S815
195T	CVCL_VJ43
1962-MEL	CVCL_DI15
196T	CVCL_VJ44
19H36	CVCL_LC60
19PFT	CVCL_0F46
19_3061C2	CVCL_YT24
1A1	CVCL_KR49
1A10	CVCL_KT14
1A2	CVCL_KT11
1A2(R)	CVCL_Y001
1A3	CVCL_KT12
1A4B12	CVCL_U829
1A5	CVCL_3839
1A6	CVCL_KT13
1A7	CVCL_F774
1A9 T80	CVCL_CZ93
1A9/PTX-10	CVCL_H620
1A9/PTX-22	CVCL_H621
1A9/PTX10	CVCL_H620
1A9/PTX22	CVCL_H621
1A9T80	CVCL_CZ93
1B-1	CVCL_VM35
1B-3	CVCL_VM36
1B-N1	CVCL_VM31
1B-N3	CVCL_VM32
1B2	CVCL_J101
1B3	CVCL_VI41
1B9	CVCL_0J49
1BR	CVCL_2279
1BR.3	CVCL_2279
1BR.3GPT	CVCL_2280
1BR.3N	CVCL_2282
1BR.3NEO	CVCL_2282
1BR3.G	CVCL_2280
1BR3.GN	CVCL_2281
1BR3.N	CVCL_2282
1BR3NEO	CVCL_2282
1BRNEO	CVCL_2282
1C-5	CVCL_VM38
1C-6	CVCL_VM39
1C-N19	CVCL_VM33
1C-N22	CVCL_VM34
1C3	CVCL_KT15
1C4	CVCL_KT16
1C5	CVCL_KT17
1C6	CVCL_U639
1C6F4	CVCL_U847
1C7	CVCL_KT18
1C9	CVCL_J638
1CC8	CVCL_L893
1CT	CVCL_AQ45
1CT-HCEC	CVCL_AQ45
1CT7	CVCL_AQ46
1CTP	CVCL_AV02
1CTR	CVCL_AV03
1D10(ATT) CLONE A6	CVCL_U070
1D11	CVCL_N309
1D11.16	CVCL_J162
1D12	CVCL_KT19
1D14A2A10	CVCL_XX81
1D8	CVCL_J626
1E4	CVCL_G141
1E5	CVCL_XF05
1E7	CVCL_LH58
1E8-H	CVCL_G257
1E9	CVCL_J483
1F1	CVCL_XF06
1F10	CVCL_9089
1F12	CVCL_KT22
1F2	CVCL_KT20
1F2-HGITR	CVCL_LH48
1F4	CVCL_KT21
1F5.D6(14)	CVCL_XX98
1G1	CVCL_DC02
1G3	CVCL_KR37
1G4	CVCL_XG55
1H10	CVCL_J165
1H12	CVCL_KR44
1H2	CVCL_U861
1H3	CVCL_XG56
1H4	CVCL_G689
1H831	CVCL_EG63
1HAEO	CVCL_0113
