n1	n2	evidence	score
UMLS:C0003910	DOID:4186	curated	1
UMLS:C0003949	DOID:10320	curated	1
UMLS:C0003950	DOID:3108	curated	1
UMLS:C0003950	DOID:456	curated	1
UMLS:C0003969	DOID:13724	curated	1
UMLS:C0004030	DOID:13564	curated	1
UMLS:C0004031	DOID:13166	curated	1
UMLS:C0004045	DOID:11088	curated	1
UMLS:C0004096	DOID:2841	curated	1
UMLS:C0004096	DOID:9360	curated	1
UMLS:C0004096	DOID:9415	curated	1
UMLS:C0004106	DOID:11782	curated	1
UMLS:C0004114	DOID:3069	curated	1
UMLS:C0004114	DOID:3078	curated	1
UMLS:C0004114	DOID:4851	curated	1
UMLS:C0004114	DOID:5077	curated	1
UMLS:C0004114	DOID:6726	curated	1
UMLS:C0004114	DOID:6811	curated	1
UMLS:C0004114	DOID:7005	curated	1
UMLS:C0004114	DOID:7007	curated	1
UMLS:C0004114	DOID:7008	curated	1
UMLS:C0004135	DOID:12704	curated	1
UMLS:C0004138	DOID:0050951	curated	1
UMLS:C0004138	DOID:12705	curated	1
UMLS:C0004153	DOID:1936	curated	1
UMLS:C0004153	DOID:2348	curated	1
UMLS:C0004153	DOID:2349	curated	1
UMLS:C0004153	DOID:3393	curated	1
UMLS:C0004153	DOID:5162	curated	1
UMLS:C0004238	DOID:0060224	curated	1
UMLS:C0004245	DOID:0050820	curated	1
UMLS:C0004352	DOID:12849	curated	1
UMLS:C0004364	DOID:2914	curated	1
UMLS:C0004364	DOID:417	curated	1
UMLS:C0004444	DOID:1509	curated	1
UMLS:C0004509	DOID:14227	curated	1
UMLS:C0004576	DOID:9643	curated	1
UMLS:C0004606	DOID:0050535	curated	1
UMLS:C0004606	DOID:13208	curated	1
UMLS:C0004608	DOID:0050535	curated	1
UMLS:C0004608	DOID:13208	curated	1
UMLS:C0004623	DOID:104	curated	1
UMLS:C0004626	DOID:874	curated	1
UMLS:C0004659	DOID:1412	curated	1
UMLS:C0004681	DOID:12522	curated	1
UMLS:C0004698	DOID:3052	curated	1
UMLS:C0004712	DOID:0060215	curated	1
UMLS:C0004712	DOID:10588	curated	1
UMLS:C0004763	DOID:9206	curated	1
UMLS:C0004771	DOID:11102	curated	1
UMLS:C0004775	DOID:0050477	curated	1
UMLS:C0004775	DOID:445	curated	1
UMLS:C0004779	DOID:2512	curated	1
UMLS:C0004782	DOID:679	curated	1
UMLS:C0004903	DOID:0060476	curated	1
UMLS:C0004903	DOID:0080351	curated	1
UMLS:C0004903	DOID:14748	curated	1
UMLS:C0004903	DOID:5572	curated	1
UMLS:C0004930	DOID:12995	curated	1
UMLS:C0004936	DOID:150	curated	1
UMLS:C0004936	DOID:2468	curated	1
UMLS:C0004943	DOID:13241	curated	1
UMLS:C0004945	DOID:13431	curated	1
UMLS:C0004991	DOID:0080410	curated	1
UMLS:C0005001	DOID:13206	curated	1
UMLS:C0005122	DOID:0070313	curated	1
UMLS:C0005122	DOID:0070318	curated	1
UMLS:C0005122	DOID:13725	curated	1
UMLS:C0005129	DOID:2217	curated	1
UMLS:C0005138	DOID:10322	curated	1
UMLS:C0005283	DOID:12241	curated	1
UMLS:C0005395	DOID:4138	curated	1
UMLS:C0005396	DOID:4606	curated	1
UMLS:C0005396	DOID:4897	curated	1
UMLS:C0005398	DOID:13619	curated	1
UMLS:C0005403	DOID:12237	curated	1
UMLS:C0005411	DOID:13608	curated	1
UMLS:C0005424	DOID:9741	curated	1
UMLS:C0005426	DOID:4607	curated	1
UMLS:C0005586	DOID:3312	curated	1
UMLS:C0005587	DOID:3312	curated	1
UMLS:C0005683	DOID:11354	curated	1
UMLS:C0005683	DOID:11355	curated	1
UMLS:C0005684	DOID:11054	curated	1
UMLS:C0005686	DOID:365	curated	1
UMLS:C0005689	DOID:0080174	curated	1
UMLS:C0005694	DOID:13948	curated	1
UMLS:C0005695	DOID:11054	curated	1
UMLS:C0005697	DOID:12143	curated	1
